###################### UltraGCN Plus Plus ######################
./configs/ultragcn_gowalla_m1.ini
torch.cuda.is_available() True
cuda
load path = ./gowalla_ii_constraint_mat object
load path = ./gowalla_ii_neighbor_mat object
load path = ./gowalla_rec_i_64 object
load path = ./gowalla_rec_u_64 object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_gowalla.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.0001, 'dataset': 'gowalla', 'gpu': '0', 'device': device(type='cuda'), 'lr': 0.0001, 'batch_size': 512, 'early_stop_epoch': 100, 'w1': 1e-06, 'w2': 1.0, 'w3': 1e-06, 'w4': 1.0, 'negative_num': 1500, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0005, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 29858, 'item_num': 40981}
start load weight
torch.Size([29858, 64])
torch.Size([40981, 64])
cuda
Total training batches = 1583
The time for epoch 157 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 57.73999, F1-score: 0.076667 	 Precision: 0.05030	 Recall: 0.16117	NDCG: 0.13959
The time for epoch 158 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.99480, F1-score: 0.076851 	 Precision: 0.05043	 Recall: 0.16147	NDCG: 0.13989
The time for epoch 159 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 60.06758, F1-score: 0.077053 	 Precision: 0.05054	 Recall: 0.16210	NDCG: 0.14013
The time for epoch 160 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 58.65990, F1-score: 0.077156 	 Precision: 0.05060	 Recall: 0.16239	NDCG: 0.14044
The time for epoch 161 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 59.01823, F1-score: 0.077324 	 Precision: 0.05070	 Recall: 0.16279	NDCG: 0.14069
The time for epoch 162 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 58.52649, F1-score: 0.077464 	 Precision: 0.05078	 Recall: 0.16326	NDCG: 0.14099
The time for epoch 163 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.88021, F1-score: 0.077479 	 Precision: 0.05080	 Recall: 0.16319	NDCG: 0.14113
The time for epoch 164 is: train time = 00: 01: 00, test time = 00: 00: 08
Loss = 60.16900, F1-score: 0.077715 	 Precision: 0.05095	 Recall: 0.16374	NDCG: 0.14149
The time for epoch 165 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.38428, F1-score: 0.077887 	 Precision: 0.05106	 Recall: 0.16415	NDCG: 0.14167
The time for epoch 166 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.26464, F1-score: 0.078098 	 Precision: 0.05121	 Recall: 0.16448	NDCG: 0.14204
The time for epoch 167 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 58.02699, F1-score: 0.078205 	 Precision: 0.05127	 Recall: 0.16475	NDCG: 0.14223
The time for epoch 168 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 61.79327, F1-score: 0.078375 	 Precision: 0.05137	 Recall: 0.16519	NDCG: 0.14250
The time for epoch 169 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 57.37845, F1-score: 0.078545 	 Precision: 0.05148	 Recall: 0.16558	NDCG: 0.14278
The time for epoch 170 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 58.82498, F1-score: 0.078581 	 Precision: 0.05151	 Recall: 0.16568	NDCG: 0.14297
The time for epoch 171 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.76265, F1-score: 0.078782 	 Precision: 0.05163	 Recall: 0.16616	NDCG: 0.14321
The time for epoch 172 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 57.86821, F1-score: 0.078913 	 Precision: 0.05172	 Recall: 0.16642	NDCG: 0.14338
