###################### UltraGCN Plus Plus ######################
./configs/ultragcn_gowalla_m1_N_2500.ini
torch.cuda.is_available() True
cuda
Computing \Omega for the item-item graph... 
i-i constraint matrix 0 ok
i-i constraint matrix 15000 ok
i-i constraint matrix 30000 ok
Computation \Omega OK!
store object in path = ./gowalla_ii_neighbor_mat ok
store object in path = ./gowalla_ii_constraint_mat ok
store object in path = ./gowalla_rec_i_64 ok
store object in path = ./gowalla_rec_u_64 ok
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_gowalla.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.0001, 'dataset': 'gowalla', 'gpu': '0', 'device': device(type='cuda'), 'lr': 0.0001, 'batch_size': 512, 'early_stop_epoch': 100, 'w1': 1e-06, 'w2': 1.0, 'w3': 1e-06, 'w4': 1.0, 'negative_num': 150, 'negative_weight': 50.0, 'gamma': 0.0001, 'lambda': 0.0005, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 29858, 'item_num': 40981}
start load weight
torch.Size([29858, 64])
torch.Size([40981, 64])
cuda
Total training batches = 1583
Loss = 44.55981, F1-score: 0.065771 	 Precision: 0.04337	 Recall: 0.13600	NDCG: 0.11939
The time for epoch 107 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.96731, F1-score: 0.066061 	 Precision: 0.04355	 Recall: 0.13672	NDCG: 0.11991
The time for epoch 108 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 41.50517, F1-score: 0.066359 	 Precision: 0.04374	 Recall: 0.13744	NDCG: 0.12046
The time for epoch 109 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 43.61852, F1-score: 0.066552 	 Precision: 0.04387	 Recall: 0.13775	NDCG: 0.12084
The time for epoch 110 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.09824, F1-score: 0.066833 	 Precision: 0.04405	 Recall: 0.13845	NDCG: 0.12128
The time for epoch 111 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 43.46432, F1-score: 0.067041 	 Precision: 0.04418	 Recall: 0.13898	NDCG: 0.12166
The time for epoch 112 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.21509, F1-score: 0.067229 	 Precision: 0.04430	 Recall: 0.13933	NDCG: 0.12207
The time for epoch 113 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.10583, F1-score: 0.067478 	 Precision: 0.04446	 Recall: 0.13995	NDCG: 0.12254
The time for epoch 114 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.05794, F1-score: 0.067615 	 Precision: 0.04453	 Recall: 0.14036	NDCG: 0.12289
The time for epoch 115 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.00000, F1-score: 0.067809 	 Precision: 0.04467	 Recall: 0.14065	NDCG: 0.12324
The time for epoch 116 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 41.77688, F1-score: 0.067867 	 Precision: 0.04470	 Recall: 0.14083	NDCG: 0.12345
The time for epoch 117 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.60706, F1-score: 0.068112 	 Precision: 0.04486	 Recall: 0.14141	NDCG: 0.12381
The time for epoch 118 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.81414, F1-score: 0.068270 	 Precision: 0.04497	 Recall: 0.14171	NDCG: 0.12405
The time for epoch 119 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.30205, F1-score: 0.068432 	 Precision: 0.04508	 Recall: 0.14202	NDCG: 0.12440
The time for epoch 120 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.38145, F1-score: 0.068654 	 Precision: 0.04522	 Recall: 0.14254	NDCG: 0.12485
The time for epoch 121 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.89320, F1-score: 0.068805 	 Precision: 0.04531	 Recall: 0.14288	NDCG: 0.12507
The time for epoch 122 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.77641, F1-score: 0.069041 	 Precision: 0.04546	 Recall: 0.14342	NDCG: 0.12542
The time for epoch 123 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.33919, F1-score: 0.069164 	 Precision: 0.04554	 Recall: 0.14373	NDCG: 0.12577
The time for epoch 124 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.27019, F1-score: 0.069311 	 Precision: 0.04564	 Recall: 0.14398	NDCG: 0.12604
The time for epoch 125 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.11345, F1-score: 0.069571 	 Precision: 0.04581	 Recall: 0.14455	NDCG: 0.12638
The time for epoch 126 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 42.46408, F1-score: 0.069595 	 Precision: 0.04583	 Recall: 0.14460	NDCG: 0.12659
The time for epoch 127 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.38543, F1-score: 0.069835 	 Precision: 0.04597	 Recall: 0.14518	NDCG: 0.12696
The time for epoch 128 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 44.19864, F1-score: 0.070000 	 Precision: 0.04608	 Recall: 0.14556	NDCG: 0.12729
The time for epoch 129 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 41.93920, F1-score: 0.070250 	 Precision: 0.04624	 Recall: 0.14608	NDCG: 0.12769
The time for epoch 130 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.44022, F1-score: 0.070326 	 Precision: 0.04630	 Recall: 0.14617	NDCG: 0.12789
The time for epoch 131 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.36462, F1-score: 0.070430 	 Precision: 0.04636	 Recall: 0.14645	NDCG: 0.12812
The time for epoch 132 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 41.17929, F1-score: 0.070673 	 Precision: 0.04653	 Recall: 0.14694	NDCG: 0.12844
The time for epoch 133 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.43551, F1-score: 0.070868 	 Precision: 0.04665	 Recall: 0.14737	NDCG: 0.12878
The time for epoch 134 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.27869, F1-score: 0.070956 	 Precision: 0.04672	 Recall: 0.14748	NDCG: 0.12901
The time for epoch 135 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.09858, F1-score: 0.071047 	 Precision: 0.04677	 Recall: 0.14775	NDCG: 0.12928
The time for epoch 136 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.80865, F1-score: 0.071189 	 Precision: 0.04686	 Recall: 0.14807	NDCG: 0.12955
The time for epoch 137 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.48889, F1-score: 0.071383 	 Precision: 0.04698	 Recall: 0.14858	NDCG: 0.12989
The time for epoch 138 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.44546, F1-score: 0.071432 	 Precision: 0.04701	 Recall: 0.14862	NDCG: 0.13002
The time for epoch 139 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.99189, F1-score: 0.071600 	 Precision: 0.04712	 Recall: 0.14902	NDCG: 0.13029
The time for epoch 140 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.97324, F1-score: 0.071797 	 Precision: 0.04726	 Recall: 0.14936	NDCG: 0.13062
The time for epoch 141 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 45.46061, F1-score: 0.071938 	 Precision: 0.04734	 Recall: 0.14979	NDCG: 0.13084
The time for epoch 142 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.11938, F1-score: 0.072089 	 Precision: 0.04743	 Recall: 0.15018	NDCG: 0.13116
The time for epoch 143 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.55918, F1-score: 0.072220 	 Precision: 0.04752	 Recall: 0.15039	NDCG: 0.13127
The time for epoch 144 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.70198, F1-score: 0.072335 	 Precision: 0.04758	 Recall: 0.15075	NDCG: 0.13151
The time for epoch 145 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.73059, F1-score: 0.072602 	 Precision: 0.04775	 Recall: 0.15138	NDCG: 0.13194
The time for epoch 146 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.79231, F1-score: 0.072635 	 Precision: 0.04778	 Recall: 0.15139	NDCG: 0.13205
The time for epoch 147 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.88734, F1-score: 0.072821 	 Precision: 0.04790	 Recall: 0.15183	NDCG: 0.13237
The time for epoch 148 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.78507, F1-score: 0.072884 	 Precision: 0.04794	 Recall: 0.15194	NDCG: 0.13258
The time for epoch 149 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.83415, F1-score: 0.072994 	 Precision: 0.04801	 Recall: 0.15219	NDCG: 0.13275
The time for epoch 150 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 43.49395, F1-score: 0.073163 	 Precision: 0.04812	 Recall: 0.15255	NDCG: 0.13301
The time for epoch 151 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.68911, F1-score: 0.073250 	 Precision: 0.04817	 Recall: 0.15280	NDCG: 0.13317
The time for epoch 152 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.25552, F1-score: 0.073378 	 Precision: 0.04825	 Recall: 0.15314	NDCG: 0.13342
The time for epoch 153 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 43.16203, F1-score: 0.073451 	 Precision: 0.04830	 Recall: 0.15326	NDCG: 0.13358
The time for epoch 154 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.56122, F1-score: 0.073481 	 Precision: 0.04831	 Recall: 0.15341	NDCG: 0.13374
The time for epoch 155 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.22495, F1-score: 0.073572 	 Precision: 0.04838	 Recall: 0.15355	NDCG: 0.13391
The time for epoch 156 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.71493, F1-score: 0.073659 	 Precision: 0.04842	 Recall: 0.15386	NDCG: 0.13414
The time for epoch 157 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 45.11905, F1-score: 0.073856 	 Precision: 0.04855	 Recall: 0.15429	NDCG: 0.13438
The time for epoch 158 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.99393, F1-score: 0.074001 	 Precision: 0.04864	 Recall: 0.15464	NDCG: 0.13450
The time for epoch 159 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.51760, F1-score: 0.073995 	 Precision: 0.04864	 Recall: 0.15458	NDCG: 0.13465
The time for epoch 160 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 44.67041, F1-score: 0.074109 	 Precision: 0.04872	 Recall: 0.15474	NDCG: 0.13485
The time for epoch 161 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.54710, F1-score: 0.074298 	 Precision: 0.04884	 Recall: 0.15520	NDCG: 0.13513
The time for epoch 162 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 43.93258, F1-score: 0.074501 	 Precision: 0.04897	 Recall: 0.15565	NDCG: 0.13541
The time for epoch 163 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 45.62185, F1-score: 0.074592 	 Precision: 0.04903	 Recall: 0.15587	NDCG: 0.13558
The time for epoch 164 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.20382, F1-score: 0.074662 	 Precision: 0.04907	 Recall: 0.15602	NDCG: 0.13575
The time for epoch 165 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 44.49207, F1-score: 0.074760 	 Precision: 0.04913	 Recall: 0.15627	NDCG: 0.13597
The time for epoch 166 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 44.78731, F1-score: 0.074865 	 Precision: 0.04921	 Recall: 0.15643	NDCG: 0.13611
The time for epoch 167 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 45.33324, F1-score: 0.074975 	 Precision: 0.04927	 Recall: 0.15674	NDCG: 0.13638
The time for epoch 168 is: train time = 00: 01: 16, test time = 00: 00: 08
